Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,capillary,Rate,Size,regime
1,150,2,2,2.5,2.5,4,8,0.06988235318,75.1231527094,116.896443210746,1
2,150,2,2,2.5,2.5,4,10.00000,0.05000,52.800000,109.163825975773,1
3,150,2,2,2.5,2.5,4,4.00000,0.03000,20,172.707213439713,1
4,125,1,3,2,2.5,3.5,14,0.2,297.09,58.9514962664261,1
5,125,1,3,2,2.5,3.5,9,0.15,181.50000,73.1387550950903,1
6,125,1,3,2,2.5,3.5,18,0.1,148.6,54.2075466576079,1
7,125,1,3,2,2.5,3.5,7,0.05,40,91.290905499483,1
8,75,3,6,3,4,4,13,0.09,97.3,61.1879526309678,1
9,75,3,6,3,4,4,15,0.07500,78.28,59.0260260686307,1
10,75,3,6,3,4,4,12,0.06000,54.90000,66.4359326482576,1
11,75,3,6,3,4,4,9,45,21.30000,91.0892829085537,1
12,75,3,6,3,4,4,14,52,26.80000,76.4159448760068,1
13,150,1,5,1.5,4,3,8,0.22,140,87.2439128503384,1
14,150,1,5,1.5,4,3,12,0.12500,77.3,76.9455202213002,1
15,150,1,5,1.5,4,3,4,0.06000,22.6,130.916541118916,1
16,100,2.8101,2,1.5029,2.9903,3.57789,12,0.07500,81.7,79.3256896197791,1
17,100,2.8101,2,1.5029,2.9903,3.57789,8,0.05000,40.19,100.488232273017,1
18,100,2.8101,2,1.5029,2.9903,3.57789,4,0.03,14,151.765227982127,1
19,75,1.5,3,1.5,2.5,2.5,18,0.09,121.2,41.724291205692,1
20,75,1.5,3,1.5,2.5,2.5,12,0.06000,53.59000,54.7682152593327,1
21,75,1.5,3,1.5,2.5,2.5,6,0.03000,15.8,82.2882942265079,1
