Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,capillary,Rate,Size,regime
1,150,2,2,2.5,2.5,4,19,0.132,95.3,100.04818115311,2
2,150,2,2,2.5,2.5,4,14,0.08541176508,69,106.695698592476,2
3,150,2,2,2.5,2.5,4,22.00000,0.20000,130.600000,98.5193263976299,2
4,150,2,2,2.5,2.5,4,12.00000,0.11000,79.480000,116.578352820356,2
5,125,1,3,2,2.5,3.5,22,0.264,115.290000,76.258230925313,2
6,125,1,3,2,2.5,3.5,13,0.3,107.18,97.1653845249131,2
7,75,3,6,3,4,4,22,0.13200,24.78,92.0351657862192,2
8,75,3,6,3,4,4,16,0.26,40.3,109.090413831254,2
9,75,3,6,3,4,4,10,0.6,83.73,132.137839777044,2
10,150,1,5,1.5,4,3,17,0.33000,43.3,114.866297666775,2
11,150,1,5,1.5,4,3,11,0.5,56.6,139.504177168628,2
12,150,1,5,1.5,4,3,16,0.75,89.7,120.88800070516,2
13,100,2.8101,2,1.5029,2.9903,3.57789,20,0.20000,134,78.6731012123371,2
14,100,2.8101,2,1.5029,2.9903,3.57789,15,0.3,195.5,87.3954750507364,2
15,100,2.8101,2,1.5029,2.9903,3.57789,13,0.15,106.9,88.9715732124164,2
16,100,2.8101,2,1.5029,2.9903,3.57789,10,0.1,70.47,97.4674892642132,2
17,75,1.5,3,1.5,2.5,2.5,19,0.13200,83.3,52.7583999588717,2
18,75,1.5,3,1.5,2.5,2.5,14,0.25,130.8,62.1776899087624,2
19,75,1.5,3,1.5,2.5,2.5,9,0.45,192.9,76.9920290523767,2
