id,design_id,description,growth,parts,findings
2017-06-01,38400.0,0 days 10:40:00.000000000,11.0,Thursday,899313
2017-06-02,0.0,0 days 00:00:00.000000000,0.0,Friday,899313
2017-06-03,0.0,0 days 00:00:00.000000000,0.0,Saturday,899313
2017-06-04,0.0,0 days 00:00:00.000000000,0.0,Sunday,899313
2017-06-05,37170.0,0 days 10:19:30.000000000,10.0,Monday,899313
2017-06-06,38220.0,0 days 10:37:00.000000000,11.0,Tuesday,899313
2017-06-07,19485.0,0 days 05:24:45.000000000,5.0,Wednesday,899313
2017-06-08,35295.0,0 days 09:48:15.000000000,10.0,Thursday,899313
2017-06-09,0.0,0 days 00:00:00.000000000,0.0,Friday,899313
2017-06-10,0.0,0 days 00:00:00.000000000,0.0,Saturday,899313
2017-06-11,0.0,0 days 00:00:00.000000000,0.0,Sunday,899313
2017-06-12,22260.0,0 days 06:11:00.000000000,6.0,Monday,899313
2017-06-13,38520.0,0 days 10:42:00.000000000,11.0,Tuesday,899313
2017-06-14,28140.0,0 days 07:49:00.000000000,8.0,Wednesday,899313
2017-06-15,27465.0,0 days 07:37:45.000000000,8.0,Thursday,899313
2017-06-16,0.0,0 days 00:00:00.000000000,0.0,Friday,899313
2017-06-17,0.0,0 days 00:00:00.000000000,0.0,Saturday,899313
2017-06-18,0.0,0 days 00:00:00.000000000,0.0,Sunday,899313
2017-06-19,22290.0,0 days 06:11:30.000000000,6.0,Monday,899313
2017-06-20,38640.0,0 days 10:44:00.000000000,11.0,Tuesday,899313
2017-06-21,23160.0,0 days 06:26:00.000000000,6.0,Wednesday,899313
2017-06-01,39960.0,0 days 11:06:00.000000000,11.0,Thursday,373017
2017-06-02,31740.0,0 days 08:49:00.000000000,9.0,Friday,373017
2017-06-03,32520.0,0 days 09:02:00.000000000,9.0,Saturday,373017
2017-06-04,34290.0,0 days 09:31:30.000000000,10.0,Sunday,373017
2017-06-05,35505.0,0 days 09:51:45.000000000,10.0,Monday,373017
2017-06-06,33900.0,0 days 09:25:00.000000000,9.0,Tuesday,373017
2017-06-07,38460.0,0 days 10:41:00.000000000,11.0,Wednesday,373017
2017-06-08,0.0,0 days 00:00:00.000000000,0.0,Thursday,373017
2017-06-09,24660.0,0 days 06:51:00.000000000,7.0,Friday,373017
2017-06-10,0.0,0 days 00:00:00.000000000,0.0,Saturday,373017
2017-06-11,27585.0,0 days 07:39:45.000000000,8.0,Sunday,373017
2017-06-12,38160.0,0 days 10:36:00.000000000,11.0,Monday,373017
2017-06-13,28140.0,0 days 07:49:00.000000000,8.0,Tuesday,373017
2017-06-14,35340.0,0 days 09:49:00.000000000,10.0,Wednesday,373017
2017-06-15,31740.0,0 days 08:49:00.000000000,9.0,Thursday,373017
2017-06-16,26370.0,0 days 07:19:30.000000000,7.0,Friday,373017
2017-06-17,26520.0,0 days 07:22:00.000000000,7.0,Saturday,373017
2017-06-18,25200.0,0 days 07:00:00.000000000,7.0,Sunday,373017
2017-06-19,36180.0,0 days 10:03:00.000000000,10.0,Monday,373017
2017-06-20,0.0,0 days 00:00:00.000000000,0.0,Tuesday,373017
2017-06-21,34320.0,0 days 09:32:00.000000000,10.0,Wednesday,373017
2017-06-01,16860.0,0 days 04:41:00.000000000,5.0,Thursday,798984
2017-06-02,11865.0,0 days 03:17:45.000000000,3.0,Friday,798984
2017-06-03,0.0,0 days 00:00:00.000000000,0.0,Saturday,798984
2017-06-04,0.0,0 days 00:00:00.000000000,0.0,Sunday,798984
2017-06-05,25860.0,0 days 07:11:00.000000000,7.0,Monday,798984
2017-06-06,17640.0,0 days 04:54:00.000000000,5.0,Tuesday,798984
2017-06-07,15300.0,0 days 04:15:00.000000000,4.0,Wednesday,798984
2017-06-08,23940.0,0 days 06:39:00.000000000,7.0,Thursday,798984
2017-06-09,26805.0,0 days 07:26:45.000000000,7.0,Friday,798984
2017-06-10,0.0,0 days 00:00:00.000000000,0.0,Saturday,798984
2017-06-11,0.0,0 days 00:00:00.000000000,0.0,Sunday,798984
2017-06-12,21780.0,0 days 06:03:00.000000000,6.0,Monday,798984
2017-06-13,23340.0,0 days 06:29:00.000000000,6.0,Tuesday,798984
2017-06-14,25320.0,0 days 07:02:00.000000000,7.0,Wednesday,798984
2017-06-15,15960.0,0 days 04:26:00.000000000,4.0,Thursday,798984
2017-06-16,23565.0,0 days 06:32:45.000000000,7.0,Friday,798984
2017-06-17,0.0,0 days 00:00:00.000000000,0.0,Saturday,798984
2017-06-18,0.0,0 days 00:00:00.000000000,0.0,Sunday,798984
2017-06-19,19620.0,0 days 05:27:00.000000000,5.0,Monday,798984
2017-06-20,18525.0,0 days 05:08:45.000000000,5.0,Tuesday,798984
2017-06-21,17940.0,0 days 04:59:00.000000000,5.0,Wednesday,798984
2017-06-01,7125.0,0 days 01:58:45.000000000,2.0,Thursday,245966
2017-06-02,17820.0,0 days 04:57:00.000000000,5.0,Friday,245966
2017-06-03,0.0,0 days 00:00:00.000000000,0.0,Saturday,245966
2017-06-04,0.0,0 days 00:00:00.000000000,0.0,Sunday,245966
2017-06-05,5100.0,0 days 01:25:00.000000000,1.0,Monday,245966
2017-06-06,15540.0,0 days 04:19:00.000000000,4.0,Tuesday,245966
2017-06-07,10800.0,0 days 03:00:00.000000000,3.0,Wednesday,245966
2017-06-08,15720.0,0 days 04:22:00.000000000,4.0,Thursday,245966
2017-06-09,10725.0,0 days 02:58:45.000000000,3.0,Friday,245966
2017-06-10,0.0,0 days 00:00:00.000000000,0.0,Saturday,245966
2017-06-11,0.0,0 days 00:00:00.000000000,0.0,Sunday,245966
2017-06-12,5700.0,0 days 01:35:00.000000000,2.0,Monday,245966
2017-06-13,1425.0,0 days 00:23:45.000000000,0.0,Tuesday,245966
2017-06-14,2880.0,0 days 00:48:00.000000000,1.0,Wednesday,245966
2017-06-15,13920.0,0 days 03:52:00.000000000,4.0,Thursday,245966
2017-06-16,1350.0,0 days 00:22:30.000000000,0.0,Friday,245966
2017-06-17,0.0,0 days 00:00:00.000000000,0.0,Saturday,245966
2017-06-18,0.0,0 days 00:00:00.000000000,0.0,Sunday,245966
2017-06-19,12225.0,0 days 03:23:45.000000000,3.0,Monday,245966
2017-06-20,18900.0,0 days 05:15:00.000000000,5.0,Tuesday,245966
2017-06-21,8880.0,0 days 02:28:00.000000000,2.0,Wednesday,245966
2017-06-01,34980.0,0 days 09:43:00.000000000,10.0,Thursday,689783
2017-06-02,33240.0,0 days 09:14:00.000000000,9.0,Friday,689783
2017-06-03,24660.0,0 days 06:51:00.000000000,7.0,Saturday,689783
2017-06-04,28485.0,0 days 07:54:45.000000000,8.0,Sunday,689783
2017-06-05,20925.0,0 days 05:48:45.000000000,6.0,Monday,689783
2017-06-06,20085.0,0 days 05:34:45.000000000,6.0,Tuesday,689783
2017-06-07,24240.0,0 days 06:44:00.000000000,7.0,Wednesday,689783
2017-06-08,33780.0,0 days 09:23:00.000000000,9.0,Thursday,689783
2017-06-09,28200.0,0 days 07:50:00.000000000,8.0,Friday,689783
2017-06-10,22680.0,0 days 06:18:00.000000000,6.0,Saturday,689783
2017-06-11,35670.0,0 days 09:54:30.000000000,10.0,Sunday,689783
2017-06-12,26160.0,0 days 07:16:00.000000000,7.0,Monday,689783
2017-06-13,25800.0,0 days 07:10:00.000000000,7.0,Tuesday,689783
2017-06-14,25980.0,0 days 07:13:00.000000000,7.0,Wednesday,689783
2017-06-15,19680.0,0 days 05:28:00.000000000,5.0,Thursday,689783
2017-06-16,38700.0,0 days 10:45:00.000000000,11.0,Friday,689783
2017-06-17,30300.0,0 days 08:25:00.000000000,8.0,Saturday,689783
2017-06-18,25980.0,0 days 07:13:00.000000000,7.0,Sunday,689783
2017-06-19,27840.0,0 days 07:44:00.000000000,8.0,Monday,689783
2017-06-20,22860.0,0 days 06:21:00.000000000,6.0,Tuesday,689783
2017-06-21,37050.0,0 days 10:17:30.000000000,10.0,Wednesday,689783
2017-06-01,5640.0,0 days 01:34:00.000000000,2.0,Thursday,830028
2017-06-02,19680.0,0 days 05:28:00.000000000,5.0,Friday,830028
2017-06-03,0.0,0 days 00:00:00.000000000,0.0,Saturday,830028
2017-06-04,0.0,0 days 00:00:00.000000000,0.0,Sunday,830028
2017-06-05,4740.0,0 days 01:19:00.000000000,1.0,Monday,830028
2017-06-06,17325.0,0 days 04:48:45.000000000,5.0,Tuesday,830028
2017-06-07,4965.0,0 days 01:22:45.000000000,1.0,Wednesday,830028
2017-06-08,18480.0,0 days 05:08:00.000000000,5.0,Thursday,830028
2017-06-09,6420.0,0 days 01:47:00.000000000,2.0,Friday,830028
