Experimental outputs:13.4297520661,51.9507415467
Desired outputs:5.0,25.0
orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size,cost_function
75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,21.291363,49.707874,1.1000187932137873
75.0,1.0,2.0,1.0,2.0,2.0069323517323214,22.0,0.03304800000000002,1,22.15914,49.66215,1.0955479112118047
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.0,0.03304800000000002,1,23.026974,49.616436,1.0916976493119337
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.05361067040206,0.03304800000000002,1,23.204231,49.509094,1.0879984466896806
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.107221340804113,0.03304800000000002,1,23.381527,49.401756,1.0843293782537375
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.16083201120617,0.03304800000000002,1,23.558813,49.294422,1.080690109594172
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.214442681608226,0.03304800000000002,1,23.736061,49.187084,1.0770800674285197
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.268053352010284,0.03304800000000002,1,23.913303,49.079754,1.0734988932733909
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.321664022412342,0.03304800000000002,1,24.090605,48.972412,1.069945511911713
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.375274692814397,0.03304800000000002,1,24.267855,48.865074,1.0664201208029531
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.428885363216455,0.03304800000000002,1,24.44513,48.757744,1.0629221231250279
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.48249603361851,0.03304800000000002,1,24.622375,48.650406,1.059450898097655
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.53610670402057,0.03304800000000002,1,24.799644,48.543064,1.0560059590916562
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.589717374422627,0.03304800000000002,1,24.976925,48.435734,1.0525872449246454
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.64332804482468,0.03304800000000002,1,25.154182,48.3284,1.0491940977688707
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.64332804482468,0.02980251224520919,1,22.570774,49.25622,1.0456237589064383
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.696938715226736,0.02980251224520919,1,22.748043,49.148884,1.042013623787839
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.750549385628794,0.02980251224520919,1,22.92532,49.041546,1.038433316385636
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.750549385628794,0.026557024490418357,1,20.341919,49.969364,1.034636358895007
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.026557024490418357,1,21.209799,49.92365,1.030401005055771
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.023311536735627525,1,18.626379,50.85147,1.025209494164342
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.020066048980836693,1,17.091003,51.7793,1.011769747557845
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.01682056122604586,1,16.19529,52.707127,0.9886017958217457
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.013575073471255028,1,15.780325,53.634953,0.9542827842722484
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.010329585716464196,1,15.450262,54.562782,0.9085822991858185
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.0070840979616733635,1,15.120197,55.4906,0.8457454245659511
75.0,1.0,2.0,1.0,2.0,2.0207970551969643,22.750549385628794,0.003838610206882531,1,14.849274,56.418423,0.77980285280958
75.0,1.0,2.0,1.0,2.0,2.013864703464643,22.750549385628794,0.003838610206882531,1,14.712263,56.46415,0.7782567196322514
75.0,1.0,2.0,1.0,2.0,2.0069323517323214,22.750549385628794,0.003838610206882531,1,14.577746,56.50987,0.7767467063526033
75.0,1.0,2.0,1.0,2.0,2.0,22.750549385628794,0.003838610206882531,1,14.445495,56.563126,0.7754293802876254
75.0,1.0,2.0,1.0,2.0,1.9930676482676786,22.750549385628794,0.003838610206882531,1,14.313231,56.61801,0.7741297164130756
75.0,1.0,2.0,1.0,2.0,1.9930676482676786,22.804160056030852,0.003838610206882531,1,14.348424,56.493984,0.7726607585802664
75.0,1.0,2.0,1.0,2.0,1.9861352965353574,22.804160056030852,0.003838610206882531,1,14.2161665,56.539707,0.7711545817047982
75.0,1.0,2.0,1.0,2.0,1.979202944803036,22.804160056030852,0.003838610206882531,1,14.083909,56.58753,0.7696756675536942
75.0,1.0,2.0,1.0,2.0,1.9722705930707145,22.804160056030852,0.003838610206882531,1,13.951661,56.6424,0.7683294004635487
75.0,1.0,2.0,1.0,2.0,1.965338241338393,22.804160056030852,0.003838610206882531,1,13.819398,56.697285,0.7669648324615908
75.0,1.0,2.0,1.0,2.0,1.965338241338393,22.857770726432907,0.003838610206882531,1,13.854593,56.56954,0.7654376083212405
75.0,1.0,2.0,1.0,2.0,1.9584058896060719,22.857770726432907,0.003838610206882531,1,13.722336,56.615257,0.7638654008245521
75.0,1.0,2.0,1.0,2.0,1.9514735378737504,22.857770726432907,0.003838610206882531,1,13.590084,56.66681,0.7623986637686655
75.0,1.0,2.0,1.0,2.0,1.944541186141429,22.857770726432907,0.003838610206882531,1,13.457836,56.721687,0.7609834661419864
75.0,1.0,2.0,1.0,2.0,1.9376088344091076,22.857770726432907,0.003838610206882531,1,13.325582,56.77657,0.7595482581951023
75.0,1.0,2.0,1.0,2.0,1.9376088344091076,22.911381396834965,0.003838610206882531,1,13.360762,56.645092,0.7579639053216098
75.0,1.0,2.0,1.0,2.0,1.9306764826767862,22.911381396834965,0.003838610206882531,1,13.228501,56.6912,0.7563279904092273
75.0,1.0,2.0,1.0,2.0,1.923744130944465,22.911381396834965,0.003838610206882531,1,13.096259,56.746075,0.7548586343791737
75.0,1.0,2.0,1.0,2.0,1.923744130944465,22.96499206723702,0.003838610206882531,1,13.131443,56.629196,0.7535958917310829
75.0,1.0,2.0,1.0,2.0,1.923744130944465,23.01860273763908,0.003838610206882531,1,13.166624,56.521862,0.7525328610240785
75.0,1.0,2.0,1.0,2.0,1.9168117792121435,23.01860273763908,0.003838610206882531,1,13.034372,56.56758,0.7508611104951484
